User ID;Product ID;Product Name;Brand;Category;Price;Rating/5;Color;Size
19;1;Dress;Adidas;Men's Fashion;40;1,0431;Black;XL
97;2;Shoes;H&M;Women's Fashion;82;4,0264;Black;L
25;3;Dress;Adidas;Women's Fashion;44;3,3379;Yellow;XL
57;4;Shoes;Zara;Men's Fashion;23;1,0495;White;S
79;5;T-shirt;Adidas;Men's Fashion;79;4,3027;Black;M
98;6;Dress;Adidas;Men's Fashion;47;1,3795;Yellow;L
16;7;Jeans;Gucci;Men's Fashion;37;1,3567;White;XL
63;8;Sweater;Zara;Kids' Fashion;64;4,3603;Blue;XL
96;9;Sweater;H&M;Men's Fashion;53;4,4661;Green;XL
36;10;T-shirt;Zara;Kids' Fashion;55;4,0932;White;XL
69;11;T-shirt;Adidas;Men's Fashion;51;1,1609;Red;S
87;12;Sweater;Gucci;Kids' Fashion;91;2,6997;Yellow;M
9;13;Jeans;Nike;Kids' Fashion;35;1,6011;Red;M
50;14;Dress;Zara;Women's Fashion;34;2,921;White;L
31;15;Shoes;Zara;Men's Fashion;54;3,6704;Yellow;M
37;16;Dress;Adidas;Women's Fashion;27;1,4227;Blue;S
41;17;Dress;Gucci;Women's Fashion;75;1,4806;Blue;XL
15;18;Jeans;Gucci;Women's Fashion;73;4,4982;Red;XL
84;19;Shoes;Gucci;Women's Fashion;54;3,2783;White;M
56;20;Dress;Gucci;Men's Fashion;53;3,7852;Green;L
87;21;Jeans;H&M;Men's Fashion;56;2,6095;Yellow;S
56;22;Jeans;Gucci;Women's Fashion;89;4,5686;Green;L
60;23;Jeans;Zara;Kids' Fashion;91;4,0727;Yellow;M
64;24;Jeans;Zara;Women's Fashion;15;2,4997;Yellow;XL
65;25;Sweater;H&M;Kids' Fashion;38;1,0204;Green;S
26;26;Dress;Gucci;Women's Fashion;21;4,7481;Green;S
82;27;T-shirt;Adidas;Kids' Fashion;72;3,3017;Red;L
87;28;Shoes;Zara;Women's Fashion;32;2,8228;Yellow;L
98;29;Shoes;Gucci;Women's Fashion;85;4,9409;Yellow;M
20;30;Sweater;Nike;Kids' Fashion;99;3,1101;Green;XL
36;31;Jeans;H&M;Kids' Fashion;37;2,7551;Blue;S
98;32;T-shirt;Nike;Kids' Fashion;78;3,4472;White;XL
69;33;Jeans;H&M;Kids' Fashion;89;4,7994;Green;XL
31;34;Jeans;H&M;Men's Fashion;80;3,9232;Black;S
48;35;Jeans;Zara;Women's Fashion;37;4,1739;Blue;L
18;36;Dress;H&M;Kids' Fashion;74;1,015;Green;S
27;37;Sweater;Zara;Kids' Fashion;48;4,9476;Blue;S
60;38;T-shirt;Nike;Kids' Fashion;76;2,663;Yellow;S
46;39;Jeans;Adidas;Men's Fashion;90;1,7887;Yellow;M
84;40;Dress;Zara;Women's Fashion;26;2,4356;Black;XL
43;41;Jeans;Gucci;Women's Fashion;40;2,9221;Blue;L
43;42;Shoes;Zara;Kids' Fashion;43;1,6719;Red;S
91;43;T-shirt;Adidas;Men's Fashion;39;3,6018;White;M
78;44;Jeans;Nike;Kids' Fashion;74;2,0391;White;M
60;45;Jeans;Gucci;Women's Fashion;85;4,8867;Red;L
44;46;Dress;Zara;Men's Fashion;38;2,8278;Yellow;XL
93;47;Jeans;Zara;Men's Fashion;62;1,2807;Green;S
74;48;T-shirt;Gucci;Kids' Fashion;10;1,8369;Green;M
19;49;Sweater;Gucci;Kids' Fashion;52;3,0122;Green;XL
98;50;T-shirt;H&M;Women's Fashion;38;3,0832;Blue;L
51;51;Jeans;Adidas;Women's Fashion;67;3,8429;Yellow;XL
80;52;Dress;Nike;Kids' Fashion;59;3,9642;Red;S
39;53;T-shirt;Nike;Men's Fashion;16;1,2923;Red;M
33;54;Shoes;H&M;Men's Fashion;33;2,4505;Blue;S
78;55;Sweater;Adidas;Kids' Fashion;76;2,8206;Red;S
24;56;Dress;Nike;Women's Fashion;53;2,2513;White;XL
99;57;Sweater;Adidas;Women's Fashion;52;3,6131;Red;M
83;58;Shoes;Adidas;Women's Fashion;61;1,6845;White;L
38;59;Dress;Nike;Kids' Fashion;93;3,1584;Blue;M
51;60;Shoes;H&M;Kids' Fashion;24;1,5907;Yellow;XL
63;61;Shoes;Adidas;Women's Fashion;25;1,0424;Yellow;M
54;62;T-shirt;Nike;Men's Fashion;66;2,0631;Blue;L
53;63;Jeans;Zara;Kids' Fashion;55;4,0262;White;L
50;64;Shoes;Gucci;Kids' Fashion;72;1,7792;Red;M
6;65;Shoes;H&M;Kids' Fashion;33;3,045;Yellow;XL
87;66;Sweater;H&M;Kids' Fashion;59;4,5509;Red;XL
84;67;Jeans;Gucci;Women's Fashion;41;4,2516;Green;M
43;68;T-shirt;Gucci;Women's Fashion;76;4,3049;Red;S
3;69;Sweater;Gucci;Women's Fashion;74;3,6666;Yellow;M
6;70;Dress;Gucci;Women's Fashion;36;2,5386;Yellow;M
15;71;Sweater;Adidas;Women's Fashion;35;4,865;White;M
94;72;T-shirt;H&M;Women's Fashion;51;2,7936;Yellow;M
98;73;T-shirt;Gucci;Men's Fashion;34;2,9239;Red;M
6;74;Dress;Zara;Women's Fashion;68;2,8808;White;XL
42;75;Dress;H&M;Women's Fashion;86;2,8894;Blue;S
54;76;Jeans;Adidas;Women's Fashion;39;2,9741;Black;XL
37;77;Sweater;H&M;Kids' Fashion;90;2,2282;Blue;L
9;78;T-shirt;Nike;Men's Fashion;76;1,2972;White;XL
26;79;T-shirt;Nike;Men's Fashion;11;1,3334;Red;L
71;80;Jeans;Nike;Kids' Fashion;21;2,938;Red;XL
72;81;T-shirt;Nike;Women's Fashion;66;2,4034;Green;S
100;82;Dress;H&M;Kids' Fashion;31;4,6127;Blue;S
69;83;Shoes;Nike;Women's Fashion;49;1,4217;Blue;L
19;84;Sweater;Adidas;Women's Fashion;42;2,5601;Red;L
84;85;Shoes;Nike;Women's Fashion;89;1,1076;Yellow;XL
4;86;Sweater;Zara;Men's Fashion;50;3,2762;Yellow;M
21;87;Shoes;Nike;Men's Fashion;41;4,1269;Red;S
85;88;Dress;Nike;Kids' Fashion;61;2,5578;White;L
10;89;Dress;Gucci;Men's Fashion;66;3,8964;White;L
2;90;Jeans;H&M;Men's Fashion;37;3,9615;Red;XL
90;91;Jeans;H&M;Kids' Fashion;85;3,0525;Green;XL
6;92;Jeans;Adidas;Men's Fashion;100;1,845;White;M
33;93;Shoes;Nike;Men's Fashion;70;4,9281;White;S
12;94;Shoes;Zara;Women's Fashion;21;3,9418;Yellow;XL
62;95;Shoes;Gucci;Women's Fashion;58;1,9715;Blue;S
22;96;Dress;Gucci;Women's Fashion;30;4,6552;Red;L
18;97;Jeans;Gucci;Men's Fashion;52;3,7618;Green;L
44;98;Sweater;Gucci;Kids' Fashion;61;4,277;Black;XL
25;99;Shoes;Nike;Kids' Fashion;93;4,28;Yellow;L
79;100;Shoes;Adidas;Kids' Fashion;84;1,8372;Red;L
